date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-18,78.2715,78.9679,77.9896,78.5202,8757308,8757308,0.32333,0.413,78.6211,"Mar 18, 14",0.03985527878830421
2014-03-19,78.4705,79.0094,77.2103,77.7078,9914653,9914653,-0.812477,-1.035,75.7077,"Mar 19, 14",0.029096538636246335
2014-03-20,77.4673,78.5451,77.1108,78.4125,10405003,10405003,0.704698,0.907,78.2768,"Mar 20, 14",0.038428990858249155
2014-03-21,78.8436,79.5814,78.1886,78.1886,24482606,24482606,-0.223847,-0.285,75.8122,"Mar 21, 14",0.035463848169861936
2014-03-24,78.5617,78.8436,78.3296,78.4622,9539768,9539768,0.273595,0.35,78.5866,"Mar 24, 14",0.03908717572476478
2014-03-25,78.8436,79.4405,78.5949,78.686,9799558,9799558,0.223843,0.285,79.1954,"Mar 25, 14",0.04205099409752534
2014-03-26,79.2249,79.2415,78.2715,78.5119,11033634,11033634,-0.1741,-0.221,78.5008,"Mar 26, 14",0.03974536059128041
2014-03-27,78.4373,80.0043,77.9813,79.7887,15427492,15427492,1.2767,1.626,79.1355,"Mar 27, 14",0.05665422251416032
2014-03-28,79.9794,81.223,79.9794,80.9991,12321804,12321804,1.2104,1.517,80.8317,"Mar 28, 14",0.07268373886085017
2014-03-31,81.6541,81.9525,80.6841,80.9825,12375215,12375215,-0.016581,-0.02,81.1799,"Mar 31, 14",0.07246390246680275
2014-04-01,80.9577,81.1898,80.6509,81.024,9476393,9476393,0.041452,0.051,80.8651,"Apr 1, 14",0.0730134934519214
2014-04-02,80.8582,81.2976,80.568,81.2064,9550006,9550006,0.182392,0.225,81.0115,"Apr 2, 14",0.07542904515518996
2014-04-03,81.1069,81.6955,80.8831,81.1898,10119284,10119284,-0.016583,-0.02,81.3983,"Apr 3, 14",0.07520920876114254
2014-04-04,81.4966,81.8365,80.6509,80.7172,12496720,12496720,-0.472562,-0.582,81.1414,"Apr 4, 14",0.0689504931089237
2014-04-07,80.6261,80.8582,80.2123,80.2364,10126378,10126378,-0.480854,-0.596,80.3976,"Apr 7, 14",0.06258318357530791
2014-04-08,80.4271,81.1484,80.2115,80.7919,10251416,10251416,0.555467,0.692,80.8358,"Apr 8, 14",0.06993975688213722
2014-04-09,81.0406,81.0737,80.1112,80.6924,10464949,10464949,-0.099484,-0.123,80.532,"Apr 9, 14",0.06862206283347931
2014-04-10,80.4022,81.0654,79.7846,80.2364,13449913,13449913,-0.455983,-0.565,80.4529,"Apr 10, 14",0.06258318357530791
2014-04-11,80.0125,80.7835,79.8219,80.1866,13353028,13353028,-0.049743,-0.062,80.2082,"Apr 11, 14",0.061923674393165457
2014-04-14,80.825,81.2934,80.2032,81.1318,9610713,9610713,0.945125,1.179,80.884,"Apr 14, 14",0.0744411056976031
2014-04-15,80.8996,81.8282,80.4768,81.8116,12961766,12961766,0.679831,0.838,81.2795,"Apr 15, 14",0.08344380332853488
2014-04-16,82.1184,82.9889,82.052,82.8562,12508091,12508091,1.0446,1.277,82.6259,"Apr 16, 14",0.09727760436600377
2014-04-17,82.649,83.7101,82.649,83.2542,15439810,15439810,0.39795,0.48,83.2798,"Apr 17, 14",0.10254838056063574
2014-04-21,82.9308,83.677,82.8148,83.677,8003529,8003529,0.422818,0.508,83.4831,"Apr 21, 14",0.1081475870307123
2014-04-22,83.3454,83.619,83.0884,83.2127,8212620,8212620,-0.46427,-0.555,83.3762,"Apr 22, 14",0.10199878957551708
2014-04-23,83.3951,83.6936,83.1796,83.3205,8691639,8691639,0.107776,0.13,83.3983,"Apr 23, 14",0.10342640182119879
2014-04-24,83.3039,83.4034,82.7899,82.9143,9057792,9057792,-0.40624,-0.488,83.0138,"Apr 24, 14",0.09804703174516985
2014-04-25,82.8977,83.3785,82.8479,83.2459,10396471,10396471,0.331625,0.4,83.1755,"Apr 25, 14",0.10243846236361212
2014-04-28,83.5029,84.118,83.163,83.876,12710821,12710821,0.630085,0.757,83.6421,"Apr 28, 14",0.11078297512802827
2014-04-29,84.2076,85.0366,83.9258,84.1081,10094588,10094588,0.232134,0.277,84.4506,"Apr 29, 14",0.11385671169781228
2014-04-30,83.8428,84.904,83.4946,84.904,13972286,13972286,0.795899,0.946,84.3096,"Apr 30, 14",0.12439693977144956
2014-05-01,84.5309,84.8874,83.9008,84.0749,11161697,11161697,-0.829058,-0.976,84.291,"May 1, 14",0.11341703890971742
2014-05-02,83.9672,85.3185,83.7184,84.5724,11169957,11169957,0.497437,0.592,84.7493,"May 2, 14",0.12000550915300748
2014-05-05,84.3071,85.5009,84.2159,85.3185,7614576,7614576,0.746151,0.882,85.1673,"May 5, 14",0.1298862280445023
2014-05-06,85.0615,85.6419,84.904,85.1196,9669834,9669834,-0.198974,-0.233,87.5416,"May 6, 14",0.12725216426281316
2014-05-07,85.4926,85.7662,85.219,85.4843,11007353,11007353,0.364786,0.429,85.5576,"May 7, 14",0.13208194335372345
2014-05-08,85.4678,85.6336,84.7051,84.8294,8924353,8924353,-0.654958,-0.766,85.0619,"May 8, 14",0.1234090003138629
2014-05-09,84.8962,85.2885,84.5206,85.0965,8948779,8948779,0.267142,0.315,84.9361,"May 9, 14",0.12694624735302423
2014-05-12,85.4137,85.4304,84.7418,85.3302,8830502,8830502,0.233712,0.275,85.1738,"May 12, 14",0.13004117297283702
2014-05-13,85.2885,85.7309,85.0882,85.4387,7529135,7529135,0.108509,0.127,85.6082,"May 13, 14",0.13147805542790622
2014-05-14,85.4387,85.7058,85.2301,85.3803,6999163,6999163,-0.05843,-0.068,87.9052,"May 14, 14",0.1307046551018598
2014-05-15,85.1383,85.4888,83.7443,84.1199,13658740,13658740,-1.2604,-1.476,84.459,"May 15, 14",0.11401298094177383
2014-05-16,83.9613,84.3036,83.736,84.0865,10369477,10369477,-0.033386,-0.04,84.0053,"May 16, 14",0.11357065952242532
2014-05-19,83.8194,84.3954,83.8194,84.1951,5851383,5851383,0.108508,0.129,84.1855,"May 19, 14",0.11500886629312132
2014-05-20,84.0448,84.3703,83.8445,84.0281,6140744,6140744,-0.166939,-0.198,84.0747,"May 20, 14",0.11279725919637873
2014-05-21,84.1784,85.3219,84.0699,85.1633,7748049,7748049,1.1352,1.351,84.9024,"May 21, 14",0.12783089019172125
2014-05-22,84.9797,85.1132,84.6959,84.7209,5304614,5304614,-0.442385,-0.519,85.1641,"May 22, 14",0.12197211785879353
2014-05-23,84.7626,85.0798,84.5258,84.5707,5411273,5411273,-0.150241,-0.177,84.7182,"May 23, 14",0.11998299578735203
2014-05-27,84.8127,85.0548,84.2451,84.6041,8359739,8359739,0.033386,0.039,84.5766,"May 27, 14",0.12042531720670054
2014-05-28,84.4955,85.1967,84.3453,84.3536,7587010,7587010,-0.250406,-0.296,84.7543,"May 28, 14",0.11710790656158664
2014-05-29,84.7543,84.8461,84.3203,84.5289,6113654,6113654,0.175282,0.208,84.5392,"May 29, 14",0.11942943185535286
